"id","main","width","height","sourcepath","createddate","updateddate","oid","bbqdefid","otype","filesize","id","publicationid"
1455551276440289,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/15/1455550943338096/1455550943338096_34.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2593619,255,"asset",0,2593619,272
1455300223370741,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/12/1455300162027027/1455300162027027_46.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2592691,255,"asset",106015,2592691,272
1455476311679801,1,1204,803,"/data/content/video/landmark/broadcast/2016/02/14/1455476287929985.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2592683,255,"asset",245656,2592683,272
1455204606673155,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/11/1455204403528445/1455204403528445_58.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2592104,255,"asset",82109,2592104,272
1455198754901640,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/11/1455195671028824/1455195671028824_26.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2591995,255,"asset",75941,2591995,272
1455195230723446,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/11/1455194850637187/1455194850637187_52.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2591974,255,"asset",82556,2591974,272
1455297369706636,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/11/1455185420470263/1455185420470263_57.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2591871,255,"asset",156277,2591871,272
1455185397834116,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/11/1455184887693785/1455184887693785_250.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2591867,255,"asset",113583,2591867,272
1455182676406485,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/11/1455182407011058/1455182407011058_77.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2591859,255,"asset",149394,2591859,272
1455112741103944,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/10/1455107934768836/1455107934768836_42.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2591635,255,"asset",85896,2591635,272
1455733184051211,1,1920,1080,"/data/content/video/landmark/broadcast/2016/02/17/1455731733116713/1455731733116713_89.jpg","0000-00-00 00:00:00","0000-00-00 00:00:00",2591364,255,"asset",84335,2591364,272
