"id";"session_id";"item";"engagement_with";"engagement_without";"information_with";"information_without";"date";"id";"imagetype";"date";"ip"
10;4;1;0;-1;2;1;"2016-06-27 11:03:16";4;"video";"2016-06-27 11:02:48";"82.161.255.143"
11;4;2;0;0;1;-1;"2016-06-27 11:03:47";4;"video";"2016-06-27 11:02:48";"82.161.255.143"
12;4;3;2;1;2;1;"2016-06-27 11:04:19";4;"video";"2016-06-27 11:02:48";"82.161.255.143"
19;7;1;2;1;2;0;"2016-06-27 11:38:37";7;"video";"2016-06-27 11:38:19";"82.161.255.143"
20;7;2;2;1;2;-1;"2016-06-27 11:39:19";7;"video";"2016-06-27 11:38:19";"82.161.255.143"
21;7;3;2;1;2;-1;"2016-06-27 11:39:59";7;"video";"2016-06-27 11:38:19";"82.161.255.143"
31;11;1;NULL;0;NULL;-1;"2016-06-27 15:49:52";11;"video";"2016-06-27 15:49:52";"77.174.238.231"
32;12;1;1;0;2;1;"2016-06-27 15:51:38";12;"video";"2016-06-27 15:51:21";"31.161.109.33"
33;13;1;-1;-2;2;2;"2016-06-27 15:52:13";13;"video";"2016-06-27 15:51:52";"178.84.55.142"
34;12;2;0;0;1;0;"2016-06-27 15:52:06";12;"video";"2016-06-27 15:51:21";"31.161.109.33"
35;12;3;1;-1;1;1;"2016-06-27 15:52:48";12;"video";"2016-06-27 15:51:21";"31.161.109.33"
36;13;2;-2;-2;2;1;"2016-06-27 15:54:18";13;"video";"2016-06-27 15:51:52";"178.84.55.142"
37;13;3;-1;-2;2;0;"2016-06-27 15:54:45";13;"video";"2016-06-27 15:51:52";"178.84.55.142"
38;14;1;-1;-2;1;-1;"2016-06-27 16:09:34";14;"video";"2016-06-27 16:08:44";"94.209.216.109"
39;14;2;-2;-2;0;-2;"2016-06-27 16:10:05";14;"video";"2016-06-27 16:08:44";"94.209.216.109"
40;14;3;-2;-2;2;-2;"2016-06-27 16:10:42";14;"video";"2016-06-27 16:08:44";"94.209.216.109"
